tweetDate,handle,text
Sun Apr 03 17:07:35 +0000 2022,Bolsacarlosmari,"#Ibex35 también llegó a objetivo, la media de 30 semanas hizo de freno. La vela semanal es más decente que la vista en Dax y SP, pero podría tener el mismo destino, velas semanales. https://t.co/Go5roAqguP"
Thu Apr 07 10:04:50 +0000 2022,OxfamIntermon,"Las grandes empresas tienen una función social determinante. Sin embargo, siguen inmersas en un modelo que aumenta las desigualdades. ¿Cómo lo hacen? Pues beneficiando a los más privilegiados. Te lo contamos en nuestro INFORME #NegociosComoSiempre #Ibex35

https://t.co/GIgcAcKoQf"
Wed Mar 30 10:33:29 +0000 2022,DeVerdadDigital,"La #GuerraEnUcrania está impactando en el #IPC. Pero no es la causa fundamental de la #inflación que vivimos. Es un #AtracoMonopolista sobre el 90%. El dominio del #ibex35 sobre el precio de los carburantes y la electricidad es el factor principal.

https://t.co/4SUqwwqZSe"
Thu Apr 07 17:00:03 +0000 2022,BolsaPlaneta,"En correcciones: Cash is the King? 👑🧐
En nuestros sistemas las acciones que estan entrando, baten la liquidez. 
Los alumnos ya saben de que hablamos 👇
Unete a nosotros! 🪐🪐
$LLY

#ibex35 #españa #eeuu #sp500 #trading #mercados #inversion https://t.co/zoY6WAsmm9"
Thu Mar 31 16:03:57 +0000 2022,CAPITALRADIOB,"🔴 ANÁLISIS | Hace unos minutos contábamos en directo, en #MercadoAbierto el cierre de la jornada para el #IBEX35

➡️ Lo hemos analizado con @antonio_aspas de @infobuyandhold 
 
🎙 Aquí tienes el podcast 👉 https://t.co/EIKOzEGR4a https://t.co/nIzAlXIIjk"
Wed Mar 30 10:26:55 +0000 2022,DeVerdadDigital,"El #PlanDeChoque de Respuesta a la Guerra” del #Gobierno movilizará 16.000 millones €. Aunque las medidas son positivas y necesarias, serán únicamente paliativas si no hay #RedistribucionDeLaRiqueza para que pague la #Crisis quien➕ tiene: el #ibex35 

https://t.co/5GG2I75Zqj"
Thu Apr 07 07:00:49 +0000 2022,OxfamIntermon,"⚠️A pesar de la crisis y la pandemia,  un 40% de las empresas del #Ibex35 aumentó el reparto de dividendos, mientras que el número de trabajadores y trabajadoras con contrato temporal se redujo un 25 %.

Consulta nuevo análisis #Negocioscomosiempre
👇
https://t.co/xATdfcrw8g"
Wed Apr 06 18:05:22 +0000 2022,Bolsacarlosmari,"#Ibex35 recorte dentro de lo admisible, canal creciente de corto plazo, media de 30 sesiones por debajo del precio en disposición de girar creciente. https://t.co/jITh5rAwTd"
Mon Apr 04 07:27:12 +0000 2022,JRDA85,"Merlín da más detalles sobre la venta de la cartera de oficinas a BBVA. 
➡️Venta de la cartera con una prima del 17,1% s/GAV 🚀
➡️El 35% se destina a reducir deuda, el 16% a un dividendo extr. y el resto disponible para reducir más deuda u otras opciones . #MERLIN #ibex35 https://t.co/N6budgmDFq"
Sun Apr 03 11:12:33 +0000 2022,luis_vano,"Solo el 1,8% de los trabajadores de las empresas del #Ibex35 en 2020 eran #personascondiscapacidad | El #MOVIMIENTOCERMI ⁦@Cermi_Estatal⁩ lamenta que de media no cumplan la reserva mínima exigida del 2%  | vía ⁦@Servimedia⁩  https://t.co/S5flk4agIj"
Sat Apr 09 09:00:00 +0000 2022,SiPodemosParcan,"💶¿Quiénes ""se forraron"" en 2021, en medio de la gran crisis sanitaria, económica y social?: 
💲Las petroleras, las eléctricas y las gasísticas
👎@manolomarrerom:""Las seis empresas energéticas del #Ibex35 ganaron en 2021 un total de 10.117 millones de euros.Eso es una obscenidad"" https://t.co/YS6YDjiMBy"
Wed Mar 16 20:56:57 +0000 2022,Bolsacarlosmari,"#Ibex35 ha llegado a la zona que definí como objetivo de esta subida, ha dejado una vela fea pero el mercado está un poco loco, está descontando el final de la guerra y eso no está tan claro. https://t.co/TRMb9EW4Sz"
Mon Mar 21 09:34:05 +0000 2022,EnBolsa_,"Las claves de la semana✍

La primera de las claves de la semana es que los 8300 es el nivel clave para el #IBEX35🌟

Si se pierden los 8300 el precio objetivo será el 8040.

No te lo pierdas:👇
https://t.co/DbJHSzYzvY
#trading #indices https://t.co/NkdRFRQeQv"
Wed Mar 30 06:46:03 +0000 2022,StaminaTraders,"Como vienen los #futuros #Indices #FelizMiércoles 
#Ibex35 -0,44%
#dax -0,53%
#stoxx -0,76%
#SP500 -0,09%
@StaminaTraders @zarzatrading @xavierbrun @xalmond @ximotrader @alexisxy @ATFinanzascom @ignasicomellas @acontrerasb83 @chica_trader @MauricioCSinner @pakotrading"
Fri Mar 18 12:13:39 +0000 2022,TISpain,"🗣 Hoy hemos presentado los resultados del primer estudio #TRAC realizado en España, sobre la transparencia corporativa de las empresas del #IBEX35. Gracias a @MAECgob y a @cumplen_asoc por apoyar este proyecto. https://t.co/ywfERCVgqy"
Mon Mar 14 19:19:20 +0000 2022,Bolsacarlosmari,"#Ibex35 situación similar a la del mercado alemán tras haber recuperado el fibo 61,8 de la caída iniciada tras conocerse la invasión de territorio ucraniano. No obstante, el Ibex comportándose mejor que muchos de los índices. https://t.co/rlShbW9pQy"
Wed Mar 23 17:17:34 +0000 2022,Kostarof,Los #Algoritmos los auténticos dominadores #Ibex35 #Dax #Nasdaq 23/03/2022 https://t.co/7Og7lBG6ZT a través de @YouTube #futuros
Wed Mar 16 17:19:52 +0000 2022,RugoaTrader,"#Ibex35 lo sigo diciendo , estos gap que dejamos por el camino , normalmente se cierran . Podemos tocar la zona de 8500 , pero subir mucho más lo veo difícil , si no descansamos antes . https://t.co/o56ZnAZ6AC"
Wed Mar 30 07:13:22 +0000 2022,zonavalue,"📈 #BOLSA: El #Ibex35 abre en 🔴

🇪🇸 #Ibex35 🔻-0,57% ( 8.565,8 puntos)

Mayores subidas
#Almirall 🔼+1,45%
#Repsol 🔼+1,33%
#Sabadell 🔼+0,44% https://t.co/JDZoB4p3dB"
Fri Mar 25 20:46:24 +0000 2022,Bolsacarlosmari,"#Ibex35 dificultades para superar la zona 8.500 puntos, RSI sigue el sobreventa, la tendencia principal sigue ligeramente decreciente tras superar el susto del problema ruso-ucraniano, velas semanales. https://t.co/ceRwPhKX7G"
Mon Mar 14 18:22:36 +0000 2022,negocios_tv,"📈El #Ibex35 y #Europa siguen rebotando pese a la #guerra y al #Covid en #China

Analizamos el #cierre de los #mercadoseuropeos y las últimas noticias de las principales #compañías con @miguelmomobela, analista de @xtbes 

#Análisis completo 👇
https://t.co/ahorOHwMC5"
Wed Mar 16 10:55:06 +0000 2022,AUDIOmercados,"#ÚLTIMAHORA: Lavrov (Rusia) avanza que las negociaciones para la paz no son fáciles pero confían en un posible compromiso.

Algunas formulaciones de los acuerdos con Ucrania están a punto de completarse.

*CON DEMORA, TIEMPO REAL:
https://t.co/rHPVM5Eu3T

#EURUSD #Ibex35 https://t.co/GJQz0yCqfX"
Fri Mar 18 08:31:04 +0000 2022,Meigatrader,"OJO HOY #VENCIMIENTOS 

HORARIO  por la MAÑANA 

12:00  #FUTUROS y #Opciones sobre #EuroStoxx50
13:00  #FUTUROS y #Opciones sobre #Dax

HORARIO  por la TARDE 

15:30 #FUTUROS y #Opciones  #EEUU
16:00 #Futuros y opciones  sobre #CAC40 y #AEX
16:45 #Futuros y opciones sobre #ibex35"
Fri Mar 18 09:13:12 +0000 2022,AUDIOmercados,"Hoy hay cuádruple hora bruja, vencimientos de opciones y futuros sobre índices:

12:00 #Eurostoxx50
13:00 #Dax40 
14:30 #SP500 #Dow #Nasdaq
16:00 #CAC40
16:45 #Ibex35 

Todas las claves para entenderlo:
👇
https://t.co/1B71ioH8AJ

#Bolsa #trading #quadruplewitching #WallStreet https://t.co/WTR65a0nxh"
Mon Mar 28 07:29:25 +0000 2022,juAMApro,"El Ibex arranca la semana con alzas del 1% y con el petróleo a la baja https://t.co/6R4vPjFk1U El petróleo Brent cede un 4%, y los tipos a largo continúan subiendo, con el bono español a 10 años en el 1,44% #IBEX35"
Mon Mar 28 07:19:26 +0000 2022,EPeconomia,"El #Ibex35 inicia la semana con un alza del 0,56% y busca los 8.400 enteros
https://t.co/JnBzFtPZyT"
Fri Mar 18 19:17:04 +0000 2022,Bolsacarlosmari,"#Ibex35 estamos en zona clave, pero a poco que se supere nos ponemos en 8.800 puntos y aquí no ha pasado nada. velas semanales. https://t.co/e2T0mLYGfJ"
Fri Mar 18 17:42:29 +0000 2022,droblo,"el 23 de febrero el #Ibex35 cerraba en 8.440,1 y hoy ha cerrado a  8.417,6 con lo que se puede decir que ha borrado totalmente las pérdidas desde que empezó la guerra.
Más allá del exceso en las bajadas (llegó a estar por debajo de 7.300) sorprende habiendo tantas malas noticias."
Tue Mar 15 14:25:47 +0000 2022,Pegaso121080,"Niveles en #Acciones y #Bolsa 

#Iag
#Pharmamar 
#Deoleo 
#Solaria 
#MerlinProperties 
#Berkeley 
#lleidanet 
#Grenergy 
#ibex35 

👉Niveles de interés y Análsis Bolsa
🔄Gracias por Compartir🔄
👇👇👇
https://t.co/ImuSc7Xjqz"
Tue Mar 22 18:32:10 +0000 2022,Bolsacarlosmari,"#Ibex35 a probar la resistencia de la zona 8.520 puntos, media de 30 sesiones queda por debajo del precio actual, capital sigue en posiciones compradoras. https://t.co/tDKWUpzRIF"
Sun Mar 27 18:00:19 +0000 2022,josxct2,"L'única justícia real pel poble català serà quan esclati la revolució, confiscar totes les propietats i empreses dels traidors i els seus familiars i totes les empreses del #Ibex35,
I que triïn , exili de per vida o pena de mort !!
@Esquerra_ERC @JuntsXCat @cupnacional 
#FAQSTV3"
Mon Mar 14 08:20:11 +0000 2022,zonavalue,"📈 #BOLSA: El #Ibex35 abre en 🟢

🇪🇸 #Ibex35 🔼 +0,89% (8.214,4 puntos)

Mayores subidas⬆
#Aena🔼+2,69%
#MerlinProperties 🔼+2,34%
#MeliáHotels 🔼+2,05% https://t.co/AzNXkkIKsV"
Mon Mar 14 06:08:07 +0000 2022,JCPF_Carlos,"#MERCADOS #INVERSION #IBEX35 Semanal. Ni idea de lo que puede hacer IBEX en tan alta volatilidad, donde cualquier noticia / rumor mueve. El caso es que semana pasada salvó lateral metiéndose en todavía canal bajista. Soporte zona 7900 / 7700 y Primera resistencia en zona 8200. https://t.co/gzjUVTNf84"
Mon Mar 14 06:16:31 +0000 2022,JCPF_Carlos,"#MERCADOS #INVERSION #IBEX35 Vistazo Mensual. Visto así, en mensual asusta pero queda medio mes para darle forma a esta peligrosa vela actual. Techo canal bajista en zona 9.100. Resistencia Media 8.400, la MM40 y referencia precio. Resistencia actual 8.260. Por abajo, ni mirar https://t.co/TyqoasFZP0"
Mon Mar 07 09:41:44 +0000 2022,rober_chani,"#IBEX #IBEX35 
Rezad hermanos para que sea una falsa ruptura y al cierre semanal aguante dentro de la alcista del Covid.
Si es así, podríamos ver un buen rebote, quien sabe al calor de alguna buena noticia, como que a Putin se lo carga la cocinera🙈 https://t.co/UFnN6qUlzK"
Thu Mar 10 17:46:02 +0000 2022,ComputerworldES,"Enrique de Polo Lara, vicepresidente y Country Leader de @SalesforceES nos cuenta que la facturación de la compañía en 2021 creció un 35% en la región EMEA y del 25% de la global, con casi todas las empresas del #Ibex35 trabajando con la compañía. https://t.co/LNNwzUl6xe https://t.co/Ocl7PiQmdU"
Sat Mar 12 22:59:09 +0000 2022,JosepGP33,#sabiasque en 2022 solo quedan 2 fabricas de aerogeneradores en España y Acciona va a cerrar 1 de ellas con 100 trabajadores con 16 años de experiencia?Si en Vall d’Uixo #NoAlCierre #Acciona #Ibex35
Sun Mar 06 09:49:28 +0000 2022,RugoaTrader,"#Ibex35 manaña el margen es bastante estrecho para el soporte , pero como os comenté , las noticias mandan y en momentos de pánico no hay soporte que valga . https://t.co/0RcIdxV0XR"
Sat Mar 12 11:20:30 +0000 2022,Roger_bolsa,"Siempre intento ser optimista pero viendo que varias cuentas que sigo y respeto (@Traderbcn , @baitazuri, @LunaElfica) comentan que puede que nos esperen varios meses de bajadas va bien contemplar esta opcion. Versiones bajistas del #DowJones e #Ibex35 con un potencial del -25%. https://t.co/U5phgxYY9t"
Wed Mar 09 08:06:37 +0000 2022,zonavalue,"📈 #BOLSA: El #ibex35 abre en 🟢

🇪🇸 #Ibex35 🔼 +3,20% (8.020,2 puntos)

Mayores subidas
#Caixabank 🔼+5,59%
#Santander 🔼+4,80%
#Bankinter 🔼+4,76% https://t.co/R3fZ5mGYRB"
Sat Mar 12 08:00:59 +0000 2022,Antidiota1,"@edubayon_ @CarlosJ76027316 El @ibex35 ha ganado esta semana bélica un 5%, lo que nos hace pensar que no solo los oligarcas rusos se podrían beneficiar de este crimen masivo... Oligarcas, en España, haberlos haylos. #ibex35 #GuerraEnUcrania"
Mon Mar 07 21:57:41 +0000 2022,Bolsacarlosmari,"#Ibex35 hasta objetivo, podríamos decir que el mercado  ha descontado los efectos de la guerra y sus restricciones a la situación actual. Ahora vendrán los ajustes entre los valores, los inversores preferirán sectores que puedan beneficiarse o defenderse mejor. https://t.co/TzWW1YOzTk"
Wed Mar 09 12:44:10 +0000 2022,droblo,"Mañana al cierre se decide si hay cambios o no en la composición del #Ibex35 Parece ser que lo más probable es que no haya cambios pero yo opino, como es gratis de momento, que podría salir Almirall y entrar Logista"
Thu Mar 10 07:27:40 +0000 2022,AUDIOmercados,"Morning Call 10/03: Las bolsas globales mantienen rally a la espera del #BCE y la inflación en EEUU, EAU abre la puerta a aumentar la producción de petróleo para frenar los precios!

Todas las claves gracias al broker @IGEspana!
👇
https://t.co/b7orW2is0z

#EURUSD #Ibex35 #OOTT https://t.co/Trby2Ovp1Q"
Thu Mar 10 21:26:21 +0000 2022,Vivirinvertir1,"💡Actualizo mi cartera 💼 después de las últimas compras 🛒
🇪🇸🇺🇲🇬🇧🇳🇱
🗓️ Calendario dividendos 2022.
✅Div. anuales: 1333€
✅Div. mensuales: 111€
#dividends #stocks #ibex35 #AEX #FTSE100 #SP500 https://t.co/En3hcv8IvQ"
Mon Mar 14 07:31:41 +0000 2022,AUDIOmercados,"Morning Call 14/03: Rusia avanza que pronto podría haber un acuerdo con Ucrania, los rendimientos prolongan rally a la espera de la subida de tipos de la Fed!

Todas las claves gracias al broker @IGEspana!
👇
https://t.co/wRhC9V1ENJ

#Ibex35 #trading #Bolsa #OOTT #WallStreet https://t.co/oZjO7YvGep"
Fri Mar 11 18:39:08 +0000 2022,negocios_tv,"#CierreEuropa: El #Ibex35 cierra al borde del 1% de #subida y se queda por debajo de los 8.200 puntos

Los #mercadoseuropeos cierran #positivo, aunque con subidas bastante tímidas. Liderando las #subidas el índice alemán, el #DAX sube un 1,38% 

#Análisis
https://t.co/U6WZ31h00V"
Thu Mar 10 07:51:00 +0000 2022,bolsamania,"El pesimismo de los inversores sobre el #Ibex35 y Europa es extremo. Los expertos aconsejan ser realistas, pero sin dejarse llevar por un miedo exagerado
Por @VidalRambla vía @FundsnewsBM
https://t.co/E1sRR2rJeZ"
Sat Mar 12 13:08:55 +0000 2022,ElRealDeA8,"🌍 #Índices / #StockMarkets 🌎

Semana donde la FED es la protagonista. ¿Subida de tipos?

Week where the FED is the protagonist. Rate hike?

⬇️ Niveles clave / Key levels ⬇️

#SP500 🇺🇸 4.300 🔴
#NASDAQ100 🇺🇸 14.000 🔴
#DAX40 🇩🇪 13.000 🟢
#IBEX35 🇪🇸 7.600 🟢 https://t.co/iUtVc4yDdx"
Thu Mar 10 13:02:00 +0000 2022,SheLeadernet,"💥🪟El #techodecristal es la barrera invisible que impide a las mujeres acceder a los puestos de toma de decisión
🙋🏾‍♀️En los cargos de alta dirección de las empresas del #ibex35  solo hay un 15,7% de mujeres y este es un techo muy real, ¡no ha variado en años! https://t.co/hw1pPtrWIt"
Fri Mar 11 11:48:00 +0000 2022,Endesa,"¡La apuesta por la energía #eólica en España es tan grande que genera más de 30.000 empleos!👷👷‍♀️

Y es que movimientos como #Vientosdefuturo nos hacen recordar la importancia de este tipo de energía para alcanzar un futuro sostenible. 🍃

¡Nosotros nos sumamos a la iniciativa!👇"
Fri Mar 11 17:11:27 +0000 2022,EPeconomia,"El #Ibex35 se impulsa un 5,4% en la semana y conquista los 8.100 puntos
https://t.co/UT36SCQAk3 https://t.co/DtGaHjd6vz"
Tue Mar 01 18:35:00 +0000 2022,CMM_noticias,"♀️ Las #mujeres ya suponen el 34 % de los consejos de administración de las empresas del #Ibex35. 

Una cifra que sitúa a España por primera vez por encima de la media europea. Aún así, todavía queda mucho por hacer para llegar a la paridad.

@Atrevia @iesebschool https://t.co/uD7lI1g72q"
Mon Feb 28 09:10:34 +0000 2022,StaminaTraders,"#Apertura #mercados #Indices #bolsa 
#ibex35 🇪🇸⬇️8.299,5
#Dax40 🇩🇪⬇️14.237,79
#stoxx 🇪🇺⬇️3.863,45
#cac40 🇫🇷⬇️6.620,48
#ftse100 🇬🇧⬇️7.397,5
#ftsemib 🇮🇹⬇️25.172
https://t.co/cKuieZREz4
📉📊📉"
Fri Feb 25 19:01:41 +0000 2022,Bolsacarlosmari,"#Ibex35 cierre semanal con fuerte apoyo en el canal creciente de octubre 2020 que aleja a los bajistas del ansiado cambio de tendencia, media de 30 semanas ligeramente decreciente, velas semanales. https://t.co/TEv4TFhQkF"
Fri Mar 04 12:26:58 +0000 2022,Albitamix,"A estas horas, las Bolsas europeas en mínimos, las que más sufren. En Diario todas tenían Ondas de Wolfe bajistas

#IBEX35 en soporte como lo pierda se puede ir 1000 puntos abajo más o menos fácil
#UK100 Footsie se lo ha pensado más pero completados objetivos hoy
#Dax casi TP3 😳 https://t.co/Q0SQ23OwVd"
Tue Mar 01 15:43:47 +0000 2022,RafaelLucasGar1,"@pvallin Beneficios máximos #Ibex35
Recaudación mínima #Aeat 
Nunca es buen momento para que los más pudientes, ni batiendo récords del mundo, pongan dinero en la hucha de todos.
#Ibex35 entre un 6.14% y un 8.3%
Yo, asalariado, un 19%.
Súper justicia fiscal.
Y no reclames, ""populista""... https://t.co/ex20ZJDhw7"
Sat Feb 26 08:36:45 +0000 2022,paco229,"Dejen de seguir las cotizaciones del #Ibex35 y de otras bolsas de valores...lo que afecta directamente a nuestro bolsillo son la cotizaciones de #MateriasPrimas 
""Listado completo de Materias Primas"" https://t.co/aqkCdm9VIA https://t.co/1TwKOgPRsU"
Fri Mar 04 07:30:15 +0000 2022,AUDIOmercados,"Morning Call 04/03: Rusia desata el pánico con el ataque a la mayor planta nuclear de Europa, los inversores se refugian a la espera de un descafeinado NFP! 

Todas las claves gracias al broker @IGEspana!
👇
https://t.co/59oGWPjIU8

#WallStreet #OOTT #Ibex35 #Bitcoin #EURUSD https://t.co/60b5qp4SKa"
Thu Mar 03 19:40:18 +0000 2022,abelac62,He terminado con la exposición de los valores del #IBEX35 que veo con más posibilidades de subida en el CP y MP. Gracias a todos mis lectores.
Wed Mar 02 21:05:17 +0000 2022,Bolsacarlosmari,"#Ibex35 lo importante es que no se pierda la zona 8.000 puntos aunque se pueda pinchar en algún momento, con la volatilidad que estamos viendo. https://t.co/pUeyIzrmVk"
Mon Feb 28 08:02:28 +0000 2022,Renta4,"📈 #BOLSA: El selectivo español arranca la semana con caídas superiores al 2%. 

🇪🇸 #Ibex35 🔻 -2,15% (8.304,2 puntos)

Mayores subidas
#SiemensGamesa 🔼+0,69%
#Cellnex 🔼+0,60%
#ArcelorMittal 🔼+0,05%

Mayores caídas
#Sabadell🔻-4,73%
#IAG🔻-4,69%
#Santander🔻-4,25%"
Thu Mar 03 16:11:19 +0000 2022,rober_chani,"#IBEX #IBEX35 
Se encuentra en la base del canal bajista, deber respetarlo en cierre semanal si no quiere ir a por los 7600 que viene la alcista del Covid. https://t.co/nz7oy7LhUx"
Thu Mar 03 18:01:06 +0000 2022,Carbazas_,"#PutaEspanya 
#IBEX35
8.011,40
−309,60 (3,72%)"
Wed Mar 02 15:01:55 +0000 2022,PactoMundial,"¿Cómo están abordando las empresas del #IBEX35 los problemas de #corrupción? ¿Y las entidades españolas adheridas al Pacto Mundial? En el siguiente artículo arrojamos luz sobre este tema 👉 https://t.co/CAszKLWG5H 

#AvanzandoEnSostenibilidad https://t.co/n7s3qoV5ZI"
Mon Feb 28 12:28:21 +0000 2022,Martix_AL,"Ojo a esta barbaridad‼️ | “Las seis empresas #energéticas del #Íbex35 ganaron 10.117 millones de euros en 2021, lo que cuadriplica no sólo sus resultados del año de la pandemia, sino también los de 2019.”@BegoPRamirez 
 https://t.co/etJlxRuaTn vía @_infolibre"
Fri Mar 04 18:20:23 +0000 2022,Roger_bolsa,Gráfio en velas semanales del #Ibex #Ibex35. La zona actual 7.500 - 7.700 puntos parece propicia para un rebote ya que actuó como soporte varias veces en el pasado...el problema? Que la corrección de USA parece que va con retraso respecto la europea..crucemos dedos. #Bolsa https://t.co/PVfJq7s2Hw
Tue Mar 01 17:02:06 +0000 2022,PactoMundial,"Las empresas del #IBEX35 están demostrando un gran compromiso con el #ODS 5: el 94% de estas entidades está integrándolo en sus planes de #sostenibilidad. ¿En qué otros ámbitos del género se está avanzando? 👉 https://t.co/q5bj4OJivC 

#AvanzandoEnSostenibilidad"
Tue Mar 01 19:14:46 +0000 2022,Bolsacarlosmari,"#Ibex35 el mercado quiere volver a probar soportes, canal creciente de octubre 2020, zona 8.050 puntos, media de 30 sesiones decreciente. https://t.co/NmfLKSVX3y"
Fri Mar 04 21:19:11 +0000 2022,Bolsacarlosmari,"#Ibex35 serio contratiempo el de esta semana, perder la zona 8.000 activa como objetivo la zona 7.150 puntos, velas semanales. https://t.co/MgbXB4sO5i"
Mon Feb 28 06:47:00 +0000 2022,bolsamania,"#Preapertura | El #Ibex35 y el resto de bolsas volverán a hundirse en el cierre de febrero. Los futuros vienen con recortes del 3,15% este lunes https://t.co/yeHGK4gytG"
Sat Mar 05 10:31:41 +0000 2022,ElRealDeA8,"🌍 #Índices / #StockMarkets 🌎

Europa mucho peor que EE.UU. y ambos sobre soportes importantes.

Europe much worse than the USA and both on important supports.

⬇️ Niveles clave / Key levels ⬇️

#SP500 🇺🇸 4.300 
#NASDAQ100 🇺🇸 13.800 
#DAX40 🇩🇪 13.000 
#IBEX35 🇪🇸 7.600 https://t.co/Is9vT6UGSY"
Thu Feb 24 18:21:04 +0000 2022,Bolsacarlosmari,"#Ibex35 1 round superado, apoyo en parte inferior canal creciente de octubre 2020 y de junio 2021. El pánico inicial no ha llegado a romper referencias importantes aunque la situación puede tardar semanas en recomponerse, sin descartar, que pueda empeorar, velas semanales. https://t.co/23pnwm7iQI"
Tue Feb 22 08:18:05 +0000 2022,EnBolsa_,"#CIE automotive😋

Una compañía interesante, pero que a pesar de mostrar excelentes características técnicas su progresión bursátil es bastante pobre.🙀

Por ello este activo queda en situación de vigilancia

No te lo pierdas:👇
https://t.co/ln93WAY15B
#trading #ibex35 #acciones https://t.co/QY4zY9j5tg"
Mon Feb 21 07:40:13 +0000 2022,Traderbcn,"📁 #IBEX35 
📆 21/02/22
📍 L. P. 

📎 Espectacular donde lo han parado. 

📎 Sigo pensando que sufrirá mucho, si USA le da por pegar un tirón a la baja. 

📎 #Trading https://t.co/eWGoHaIxMC"
Mon Feb 21 18:59:16 +0000 2022,Bolsacarlosmari,"#Ibex35 jornada sin referencias americanas que ha prolongado la lenta caída del mercado, media de 30 sesiones ha girado decreciente, no espero grandes caídas pero si un lento recorte. La guerra como tal, no va a existir,  pero esta incertidumbre se va a mantener. https://t.co/hoIoXVB2Uz"
Thu Feb 24 07:31:29 +0000 2022,AUDIOmercados,"Morning Call 24/02: Putin ordena atacar Ucrania provocando pavor en las bolsas, el petróleo se dispara por encima de los 100 $!

Todas las claves gracias al broker @IGEspana
👇
https://t.co/N1ofggaYJ3

#WallStreet #OOTT #WTI #Ibex35 #Bolsa #trading #EURUSD #Ucrania #Putin #Rusia https://t.co/9gzwhRYCLV"
Wed Feb 23 08:59:17 +0000 2022,ibexbolsa,El aumento de participación de la SEPI estaba claro que no iba a traer hoy nada bueno a la cotización de #Indra Desplome del 9%. De nuevo saltan las alarmas de que dos años después y con mayor control vuelvan a intentar negociar la compra de ITP. #ibex35 #Bolsa
Thu Feb 24 08:15:28 +0000 2022,EPeconomia,"El #Ibex35 se desploma un 4,3% en la apertura tras ordenar Putin una operación bélica contra Ucrania
https://t.co/nCpvQh0Z8w"
Fri Feb 25 08:08:32 +0000 2022,zonavalue,"📈 #BOLSA: El #Ibex35 abre en 🟢

🇪🇸 #Ibex35 🔼 +0,50% (8.239,4 puntos)

Mayores subidas⬆️
#IAG 🔼+4,69%
#Fluidra 🔼+2,89%
#Aena 🔼+2,80% https://t.co/e9DmtzEY57"
Tue Feb 22 09:12:17 +0000 2022,EFEverde,"Las empresas del #IBEX35, el selectivo de la bolsa española, participa en #reforestaciones con las que buscan compensar las emisiones que no pueden evitar, una estrategia que apoyan desde la administraciones pero tb. genera controversia. Vía @AnaTMatilla  https://t.co/YvcyIqeUUR"
Wed Feb 23 07:11:36 +0000 2022,bolsamania,"#Preapertura | El #Ibex35 apunta al verde con el foco en las sanciones, el IPC, los resultados. Los futuros suben un 0,5% https://t.co/XrbBC9xAeb"
